price,mileage,power,make_model,date,fuel,gear,offer_type
3950,11187,206.15759843345688,BMW G 310 GS,03/2018,Gasoline,Manual,Used
13850,27999,152.0,Ducati Multistrada 1200,06/2017,Gasoline,Manual,Used
13300,7684,126.0,Indian FTR 1200,03/2020,Gasoline,Manual,Used
9500,36383,110.0,BMW R 1200 GS,02/2012,Gasoline,Manual,Used
16108,60000,65.0,Peugeot,06/1970,Gasoline,Manual,Used
800,4169,1.0,Yamaha Slider 50,12/2016,Two Stroke Gasoline,Manual,Used
11000,4500,165.0,BMW S 1000 R,07/2020,Gasoline,Semi-automatic,Used
11490,21360,175.0,Aprilia,01/2015,Gasoline,Manual,Used
9700,4000,46.0,Yamaha,07/2018,Gasoline,Manual,Used
6400,13048,52.0,Kymco AK 550,10/2017,Gasoline,Automatic,Used
9500,871,54.0,Triumph Bonneville T100,05/2019,Gasoline,Manual,Used
7600,11563,200.0,Kawasaki Ninja ZX-10R,06/2012,Gasoline,Manual,Used
10650,5200,53.0,Harley-Davidson Sportster 883,06/2016,Gasoline,Manual,Used
1900,18600,4.0,Vespa 50,04/1988,Two Stroke Gasoline,Manual,Used
9000,44083,160.0,KTM 1190 Adventure,06/2013,Gasoline,Manual,Used
13399,0,73.0,Yamaha Ténéré 700,01/2021,Gasoline,Manual,New
11990,55459,71.0,Harley-Davidson,07/2009,Gasoline,Manual,Used
15000,14000,199.0,BMW S 1000 RR,06/2016,Gasoline,Manual,Used
7499,12000,206.15759843345688,Kawasaki Versys 650,01/2017,Gasoline,Manual,Used
8000,1980,60.0,BMW R 100,01/1986,Gasoline,Manual,Used
16000,13000,116.0,Harley-Davidson V-Rod,07/2010,Gasoline,Manual,Used
15200,4400,203.0,Suzuki GSX-R 1000,07/2020,Gasoline,Manual,Used
1000,11500,3.0,Aprilia Scarabeo,10/2015,Two Stroke Gasoline,Manual,Used
10499,3653,116.0,Yamaha Tracer 900,03/2019,Gasoline,Manual,Used
19500,20800,118.0,Honda GL 1800,07/2012,Gasoline,Manual,Used
9350,1800,95.0,Kawasaki Z 900,06/2021,Gasoline,Manual,Used
9289,14342,118.0,Kawasaki Versys 1000,08/2014,Gasoline,Manual,Used
11250,7322,76.0,BMW F 750 GS,06/2020,Gasoline,Manual,Used
15000,1100,106.0,Triumph Rocket III Touring,06/2014,Gasoline,Manual,Used
6520,300,46.0,Honda,02/2021,Gasoline,Manual,Demonstration
8000,3000,116.0,Yamaha XSR 900,04/2018,Gasoline,Manual,Used
10500,2140,120.0,Yamaha MT-09,08/2020,Gasoline,Manual,Used
10800,42000,76.0,Harley-Davidson Dyna Super Glide,07/2008,Gasoline,Manual,Used
7200,28500,24.0,BMW R 26,08/1956,Gasoline,Manual,Used
1000,3000,1.0,Others,03/2015,Gasoline,Manual,Used
750,16000,14.0,Kymco Agility 50,10/2014,Gasoline,Manual,Used
22199,1,206.15759843345688,Yamaha YZF-R1,01/2021,Gasoline,Manual,New
7500,6074,551.0,Suzuki Burgman 650,05/2016,Gasoline,Manual,Used
11300,15500,125.0,BMW R 1200 R,07/2015,Gasoline,Semi-automatic,Used
1000,602,1.0,Luxxon,08/2020,Electric,Manual,Used
6000,62000,98.0,BMW R 1200 GS,02/2005,Gasoline,Manual,Used
100,40000,42.0,Kawasaki KLR 600,06/1989,Gasoline,Manual,Used
8000,5000,131.0,Kawasaki 900 Z,04/2021,Gasoline,Manual,Used
13750,300,110.0,BMW R nineT,02/2021,Gasoline,Manual,Demonstration
11360,59200,125.0,BMW R 1200 RT,03/2014,Gasoline,Manual,Used
12500,15600,160.0,Ducati Multistrada 1200,04/2017,Gasoline,Manual,Used
8990,13717,54.0,Triumph Street Twin,01/2018,Gasoline,Manual,Used
17999,28500,118.0,Honda GL 1800,03/2011,Gasoline,Manual,Used
8500,1900,476.0,KTM 350 EXC,10/2020,Gasoline,Manual,Used
6300,27300,125.0,MV Agusta Brutale 800,03/2013,Gasoline,Manual,Used
2800,7600,77.0,Hyosung GT 650i,05/2014,Gasoline,Manual,Used
800,1000,68.0,Polini,06/2018,Gasoline,Manual,Used
9000,12800,86.0,Yamaha XV 1700,05/2003,Gasoline,Manual,Used
1650,676,44.0,Keeway Superlight,07/2020,Gasoline,Manual,Used
7950,70353,109.0,BMW R 1200 RT,01/2010,Gasoline,Manual,Used
6000,32800,54.0,Harley-Davidson Sportster 883,04/2004,Gasoline,Manual,Used
6500,14000,87.0,BMW F 800 R,03/2014,Gasoline,Manual,Used
8990,5100,34.0,BMW C 400 GT,09/2019,Gasoline,Automatic,Used
24500,4998,101.0,Ducati Panigale V4,05/2019,Gasoline,Manual,Used
8990,18150,206.15759843345688,BMW F 800 GS,08/2015,Gasoline,Manual,Used
11699,24000,206.15759843345688,Honda CRF 1000,01/2017,Gasoline,Manual,Used
11800,6300,109.0,BMW R nineT,08/2019,Gasoline,Manual,Used
9000,30000,125.0,Aprilia Caponord 1200,05/2015,Gasoline,Manual,Used
10800,11121,27.0,Hercules,03/1977,Gasoline,Manual,Used
10300,5500,114.0,Ducati Hypermotard 950,06/2019,Gasoline,Manual,Used
900,7000,10.0,Jonway,09/2014,Gasoline,Automatic,Used
2490,300,12.0,Kymco Like 125,03/2020,Gasoline,Automatic,Demonstration
5900,30349,67.0,Kawasaki VN 1500,05/1991,Gasoline,Manual,Used
10389,23200,73.0,Kawasaki VN 1700,07/2009,Gasoline,Manual,Used
10500,5800,206.15759843345688,KTM 790 Adventure,06/2019,Gasoline,Manual,Used
2000,3680,1.0,Honda SH 125,06/2010,Gasoline,Manual,Used
8990,23500,79.0,Harley-Davidson Fat Bob,02/2009,Gasoline,Manual,Used
9000,10000,35.0,Piaggio,01/1963,Two Stroke Gasoline,Manual,Used
7000,4000,65.0,Harley-Davidson Sportster Forty Eight,10/2016,Gasoline,Manual,Used
16950,2536,97.0,Harley-Davidson,07/2006,Gasoline,Manual,Used
16000,5622,58.0,Harley-Davidson,07/1998,Gasoline,Manual,Used
7500,5000,73.0,Ducati Scrambler,05/2015,Gasoline,Manual,Used
9800,68498,107.0,BMW R 1200 RT,03/2014,Gasoline,Manual,Used
17750,10180,125.0,BMW R 1200 GS,04/2018,Gasoline,Manual,Used
2900,57100,33.0,Suzuki Burgman 400,04/2015,Gasoline,Automatic,Used
10800,12905,11360.0,Suzuki V-Strom 1000,04/2019,Gasoline,Manual,Used
13599,0,206.15759843345688,Piaggio,01/2021,Gasoline,Manual,New
11950,45000,95.0,Victory Vision Tour,09/2014,Gasoline,Manual,Used
18000,43402,82.0,Moto Guzzi 850 Le Mans,10/1976,Gasoline,Manual,Used
9999,16500,193.0,BMW S 1000 RR,03/2010,Gasoline,Manual,Used
13000,1,48.0,Yamaha TMAX 560,06/2021,Gasoline,Manual,Used
3980,2,14.0,Honda SH 125,06/2021,Gasoline,Automatic,Used
12850,107000,118.0,Honda Gold Wing,02/2009,Gasoline,Manual,Used
17500,135,16.0,Yamaha,11/2020,Gasoline,Manual,Used
13250,2000,110.0,BMW R nineT,05/2021,Gasoline,Manual,Demonstration
6000,36000,150.0,Suzuki GSX-R 1100,12/1991,Gasoline,Manual,Used
6490,4350,54.0,Honda NC 750,12/2019,Gasoline,Manual,Used
12500,22100,121.0,Harley-Davidson VRSC V-Rod,03/2009,Gasoline,Manual,Used
8000,37669,50.0,BMW R 80,03/1987,Gasoline,Manual,Used
1000,6481,1.0,Peugeot Kisbee,03/2016,Gasoline,Manual,Used
8990,31684,129.0,Honda Crosstourer,07/2013,Gasoline,Manual,Used
59900,250,226.0,Ducati Panigale V4,10/2018,Gasoline,Manual,Used
7899,0,206.15759843345688,Yamaha X-Max 400,01/2021,Gasoline,Manual,New
9299,19221,206.15759843345688,Suzuki,12/2015,Gasoline,Manual,Used
10999,300,206.15759843345688,Yamaha MT-09,01/2021,Gasoline,Manual,New
11000,10000,165.0,BMW S 1000 R,05/2019,Gasoline,Manual,Used
12000,39645,107.0,BMW R 1200 GS,02/2014,Gasoline,Manual,Used
11900,350,145.0,Honda,12/2020,Gasoline,Manual,Used
6490,1500,206.15759843345688,Kymco MXU 550,05/2018,Gasoline,Automatic,Used
3299,145,206.15759843345688,Piaggio Medley 125,02/2021,Gasoline,Manual,Used
1100,16000,5.0,Piaggio Zip 50,10/2010,Gasoline,Manual,Used
11900,8756,158.0,Ducati Multistrada 1260,06/2018,Gasoline,Manual,Used
21500,4300,170.0,Ducati Multistrada 1100,02/2021,Gasoline,Manual,Used
10000,21000,77.0,BMW F 750 GS,06/2018,Gasoline,Manual,Used
9095,0,206.15759843345688,Triumph,01/2021,Gasoline,Manual,New
8350,81000,110.0,BMW R 1200 GS,08/2012,Gasoline,Manual,Used
12499,710,50.0,Can Am,06/2021,Gasoline,Automatic,Used
7990,50755,110.0,Yamaha XTZ 1200,05/2012,Gasoline,Manual,Used
6500,11000,48.0,Yamaha MT-07,07/2019,Gasoline,Manual,Used
19990,1090,73.0,Moto Guzzi 850 Le Mans,05/1980,Gasoline,Manual,Used
7300,61,14.0,KTM 250 EXC,08/2020,Two Stroke Gasoline,Manual,Used
12999,0,145.0,Honda CB 1000,11/2020,Gasoline,Manual,Pre-registered
14490,4176,165.0,BMW S 1000 XR,03/2020,Gasoline,Manual,Used
12990,70000,71.0,Harley-Davidson Road King,01/2003,Gasoline,Manual,Used
22000,31000,76.0,Harley-Davidson Fat Boy,01/2010,Gasoline,Manual,Used
2500,1500,11.0,Kymco People S 125,12/2020,Gasoline,Manual,Used
10000,22500,140.0,Triumph Rocket III Roadster,04/2007,Gasoline,Manual,Used
8200,15000,77.0,BMW F 750 GS,05/2018,Gasoline,Manual,Used
10500,10300,73.0,Ducati Scrambler,06/2016,Gasoline,Manual,Used
